,path,label
0,PBC_dataset_normal_DIB/monocyte/MO_797990.jpg,MON
1,PBC_dataset_normal_DIB/platelet/PLATELET_242683.jpg,PLA
2,PBC_dataset_normal_DIB/neutrophil/NEUTROPHIL_993818.jpg,NGS
3,PBC_dataset_normal_DIB/ig/MY_566128.jpg,MYC
4,PBC_dataset_normal_DIB/erythroblast/ERB_928930.jpg,EBO
5,PBC_dataset_normal_DIB/eosinophil/EO_142899.jpg,EOS
6,PBC_dataset_normal_DIB/erythroblast/ERB_66502.jpg,EBO
7,PBC_dataset_normal_DIB/basophil/BA_749108.jpg,BAS
8,PBC_dataset_normal_DIB/platelet/PLATELET_207508.jpg,PLA
9,PBC_dataset_normal_DIB/monocyte/MO_143031.jpg,MON
10,PBC_dataset_normal_DIB/monocyte/MO_649989.jpg,MON
11,PBC_dataset_normal_DIB/erythroblast/ERB_686677.jpg,EBO
12,PBC_dataset_normal_DIB/eosinophil/EO_250252.jpg,EOS
13,PBC_dataset_normal_DIB/eosinophil/EO_589890.jpg,EOS
14,PBC_dataset_normal_DIB/eosinophil/EO_232961.jpg,EOS
15,PBC_dataset_normal_DIB/eosinophil/EO_759458.jpg,EOS
16,PBC_dataset_normal_DIB/monocyte/MO_338729.jpg,MON
17,PBC_dataset_normal_DIB/eosinophil/EO_838548.jpg,EOS
18,PBC_dataset_normal_DIB/erythroblast/ERB_315014.jpg,EBO
19,PBC_dataset_normal_DIB/monocyte/MO_658414.jpg,MON
20,PBC_dataset_normal_DIB/erythroblast/ERB_561580.jpg,EBO
21,PBC_dataset_normal_DIB/platelet/PLATELET_283024.jpg,PLA
22,PBC_dataset_normal_DIB/ig/MY_664626.jpg,MYC
23,PBC_dataset_normal_DIB/neutrophil/SNE_504343.jpg,NGS
24,PBC_dataset_normal_DIB/neutrophil/BNE_197399.jpg,NGS
25,PBC_dataset_normal_DIB/basophil/BA_345077.jpg,BAS
26,PBC_dataset_normal_DIB/monocyte/MO_673929.jpg,MON
27,PBC_dataset_normal_DIB/eosinophil/EO_439202.jpg,EOS
28,PBC_dataset_normal_DIB/ig/MY_380050.jpg,MYC
29,PBC_dataset_normal_DIB/neutrophil/SNE_230831.jpg,NGS
30,PBC_dataset_normal_DIB/platelet/PLATELET_736923.jpg,PLA
31,PBC_dataset_normal_DIB/neutrophil/BNE_682103.jpg,NGS
32,PBC_dataset_normal_DIB/neutrophil/SNE_178886.jpg,NGS
33,PBC_dataset_normal_DIB/eosinophil/EO_923938.jpg,EOS
34,PBC_dataset_normal_DIB/ig/MMY_617376.jpg,MYC
35,PBC_dataset_normal_DIB/neutrophil/SNE_126817.jpg,NGS
36,PBC_dataset_normal_DIB/neutrophil/SNE_279281.jpg,NGS
37,PBC_dataset_normal_DIB/eosinophil/EO_32900.jpg,EOS
38,PBC_dataset_normal_DIB/platelet/PLATELET_411359.jpg,PLA
39,PBC_dataset_normal_DIB/lymphocyte/LY_597880.jpg,LYT
40,PBC_dataset_normal_DIB/neutrophil/SNE_827687.jpg,NGS
41,PBC_dataset_normal_DIB/platelet/PLATELET_778707.jpg,PLA
42,PBC_dataset_normal_DIB/eosinophil/EO_547729.jpg,EOS
43,PBC_dataset_normal_DIB/platelet/PLATELET_19307.jpg,PLA
44,PBC_dataset_normal_DIB/neutrophil/BNE_93959.jpg,NGS
45,PBC_dataset_normal_DIB/neutrophil/SNE_77275.jpg,NGS
46,PBC_dataset_normal_DIB/ig/MY_280980.jpg,MYC
47,PBC_dataset_normal_DIB/eosinophil/EO_487107.jpg,EOS
48,PBC_dataset_normal_DIB/erythroblast/ERB_844344.jpg,EBO
49,PBC_dataset_normal_DIB/monocyte/MO_315312.jpg,MON
50,PBC_dataset_normal_DIB/eosinophil/EO_488297.jpg,EOS
51,PBC_dataset_normal_DIB/eosinophil/EO_756363.jpg,EOS
52,PBC_dataset_normal_DIB/erythroblast/ERB_615525.jpg,EBO
53,PBC_dataset_normal_DIB/eosinophil/EO_359857.jpg,EOS
54,PBC_dataset_normal_DIB/ig/PMY_147801.jpg,MYC
55,PBC_dataset_normal_DIB/lymphocyte/LY_689894.jpg,LYT
56,PBC_dataset_normal_DIB/platelet/PLATELET_301260.jpg,PLA
57,PBC_dataset_normal_DIB/lymphocyte/LY_413165.jpg,LYT
58,PBC_dataset_normal_DIB/neutrophil/SNE_714876.jpg,NGS
59,PBC_dataset_normal_DIB/ig/MY_797564.jpg,MYC
60,PBC_dataset_normal_DIB/ig/MMY_501195.jpg,MYC
61,PBC_dataset_normal_DIB/platelet/PLATELET_904784.jpg,PLA
62,PBC_dataset_normal_DIB/ig/MY_726037.jpg,MYC
63,PBC_dataset_normal_DIB/platelet/PLATELET_162155.jpg,PLA
64,PBC_dataset_normal_DIB/ig/MY_838500.jpg,MYC
65,PBC_dataset_normal_DIB/erythroblast/ERB_753427.jpg,EBO
66,PBC_dataset_normal_DIB/platelet/PLATELET_361352.jpg,PLA
